id,type,method,cantonese,prediction,reference,normalized_prediction,normalized_reference,exact_match,char_f1,edit_similarity
1,informal_orthography,google_translate,有D人好簡單好理所當然咁就拍到拖,有些人很简单很理所当然就拍到拖,有些人很轻松、很理所当然地就谈上恋爱了,有些人很简单很理所当然就拍到拖,有些人很轻松、很理所当然地就谈上恋爱了,0,0.5882352941176471,0.5882352941176471
2,colloquial_or_slang,google_translate,買唔到飛嘅人能否觀看直播？,买不到票的人能观看直播吗？,买不到票的人能否观看直播？,买不到票的人能观看直播吗？,买不到票的人能否观看直播？,0,0.9230769230769231,0.9230769230769231
3,code_mixing,google_translate,兩位好識食，俾個like你哋,兩位好識食，畀個like你地,你们两位真会吃，给你们点个赞,两位好识食，畀个like你地,你们两位真会吃，给你们点个赞,0,0.35714285714285715,0.2857142857142857
4,colloquial_or_slang,google_translate,多谢每一位撑粤语嘅人,谢谢每一位撑粤语的人,感谢每一位支持粤语的人,谢谢每一位撑粤语的人,感谢每一位支持粤语的人,0,0.761904761904762,0.7619047619047619
5,colloquial_or_slang,google_translate,你地互寸好好笑呀,你地互寸好好笑呀,你们互相吐槽真的很好笑,你地互寸好好笑呀,你们互相吐槽真的很好笑,0,0.4210526315789474,0.42105263157894735
6,colloquial_or_slang,google_translate,入機場嗰陣安檢預咗唔會太快,进机场时安检预了不会太快,进机场的时候就预料到安检不会太快,进机场时安检预了不会太快,进机场的时候就预料到安检不会太快,0,0.7857142857142857,0.7142857142857143
7,colloquial_or_slang,google_translate,你覺得阿仙奴奪冠嘅功臣係邊個,你觉得阿仙奴夺冠的功臣是谁,你觉得阿森纳夺冠的功臣是谁？,你觉得阿仙奴夺冠的功臣是谁,你觉得阿森纳夺冠的功臣是谁？,0,0.8148148148148148,0.8148148148148148
8,code_mixing,google_translate,不如問下你自己係咪無update後續啲發展,不如问问你自己是不是无update后续一些发展,不如问下你自己是不是没有跟进后续的发展,不如问问你自己是不是无update后续一些发展,不如问下你自己是不是没有跟进后续的发展,0,0.6190476190476191,0.6190476190476191
9,particles_and_context,google_translate,香港民意黎架wo,hong kong public opinion,这是香港民意来的啊,hongkongpublicopinion,这是香港民意来的啊,0,0.0,0.0
10,colloquial_or_slang,google_translate,有得白食白住仲有得打機,有得白吃白住还有得打机,可以白吃白住，还可以打游戏,有得白吃白住还有得打机,可以白吃白住，还可以打游戏,0,0.4999999999999999,0.5
