id,type,method,cantonese,prediction,reference,normalized_prediction,normalized_reference,exact_match,char_f1,edit_similarity
1,informal_orthography,gpt_basic_standardization,有D人好簡單好理所當然咁就拍到拖,有些人很簡單地理所當然地就談戀愛。,有些人很轻松、很理所当然地就谈上恋爱了,有些人很简单地理所当然地就谈恋爱。,有些人很轻松、很理所当然地就谈上恋爱了,0,0.7222222222222222,0.7222222222222222
2,colloquial_or_slang,gpt_basic_standardization,買唔到飛嘅人能否觀看直播？,買不到票的人能否觀看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,1,1.0,1.0
3,code_mixing,gpt_basic_standardization,兩位好識食，俾個like你哋,你們兩位都很會吃，給你們一個讚。,你们两位真会找好吃的东西，给你们点个赞,你们两位都很会吃，给你们一个赞。,你们两位真会找好吃的东西，给你们点个赞,0,0.6857142857142857,0.6857142857142857
4,informal_orthography,gpt_basic_standardization,多谢每一位撑粤语嘅人,感谢每一位支持粤语的人。,感谢每一位支持粤语的人,感谢每一位支持粤语的人。,感谢每一位支持粤语的人,0,0.9565217391304348,0.9565217391304348
5,informal_orthography,gpt_basic_standardization,你地互寸好好笑呀,你们互相调侃真好笑啊。,你们互相吐槽真的很好笑,你们互相调侃真好笑啊。,你们互相吐槽真的很好笑,0,0.6363636363636364,0.6363636363636364
6,colloquial_or_slang,gpt_basic_standardization,入機場嗰陣安檢預咗唔會太快,進入機場時，安檢預計不會太快。,进机场的时候就预料到安检不会太快,进入机场时，安检预计不会太快。,进机场的时候就预料到安检不会太快,0,0.7096774193548386,0.6451612903225806
7,colloquial_or_slang,gpt_basic_standardization,你覺得阿仙奴奪冠嘅功臣係邊個,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,1,1.0,1.0
8,code_mixing,gpt_basic_standardization,不如問下你自己係咪無update後續啲發展,不如問問你自己是否沒有更新後續的發展。,不如问下你自己是不是没有跟进后续的发展,不如问问你自己是否没有更新后续的发展。,不如问下你自己是不是没有跟进后续的发展,0,0.7368421052631579,0.7368421052631579
9,particles_and_context,gpt_basic_standardization,香港民意黎架wo,香港的民意是这样的。,这是香港民意啊,香港的民意是这样的。,这是香港民意啊,0,0.7058823529411764,0.47058823529411764
10,colloquial_or_slang,gpt_basic_standardization,有得白食白住仲有得打機,有得免費吃免費住，還可以玩遊戲。,可以白吃白住，还可以打游戏,有得免费吃免费住，还可以玩游戏。,可以白吃白住，还可以打游戏,0,0.5517241379310345,0.5517241379310345
11,informal_orthography,gpt_basic_standardization,同佢同期個d 全部都老哂啦,和他同期的那些人全部都老了。,和他同期的那些人全都老了,和他同期的那些人全部都老了。,和他同期的那些人全都老了,0,0.923076923076923,0.9230769230769231
12,code_mixing,gpt_basic_standardization,佢chok 到全歐洲最靚數據,他在全欧洲的数据中是最漂亮的。,他刷出了全欧洲最好看的数据,他在全欧洲的数据中是最漂亮的。,他刷出了全欧洲最好看的数据,0,0.5714285714285715,0.5
13,informal_orthography,gpt_basic_standardization,佢唔好彩既係佢遇到最頂級既射手,他不幸的是遇到了最顶尖的射手。,他不走运的是，他遇到了最顶级的前锋,他不幸的是遇到了最顶尖的射手。,他不走运的是，他遇到了最顶级的前锋,0,0.625,0.625
14,code_mixing,gpt_basic_standardization,得你一個日日開post吹捧,只有你一個人每天發帖讚美。,只有你一个人天天发帖吹捧,只有你一个人每天发帖赞美。,只有你一个人天天发帖吹捧,0,0.7199999999999999,0.72
15,code_mixing,gpt_basic_standardization,佢都係一人carry住曼聯,他也是一人扛着曼联。,他也是一个人撑着曼联,他也是一人扛着曼联。,他也是一个人撑着曼联,0,0.8000000000000002,0.8
16,code_mixing,gpt_basic_standardization,亦都冇咁易畀人笑你chok口音,也不容易被人嘲笑你的口音。,也没那么容易被人笑你的刻意口音,也不容易被人嘲笑你的口音。,也没那么容易被人笑你的刻意口音,0,0.7142857142857142,0.7142857142857143
17,particles_and_context,gpt_basic_standardization,個個男人都會陪架啦,每個男人都會陪伴的。,每个男人都会陪的啦,每个男人都会陪伴的。,每个男人都会陪的啦,0,0.8421052631578948,0.8421052631578947
18,colloquial_or_slang,gpt_basic_standardization,會諗一啲之前冇點諗過嘅嘢,會想到一些之前沒有想過的事情。,会想一些之前没怎么想过的事情,会想到一些之前没有想过的事情。,会想一些之前没怎么想过的事情,0,0.8275862068965518,0.8275862068965517
19,colloquial_or_slang,gpt_basic_standardization,大陸經濟股市收晒皮,大陆经济股市大幅下跌。,大陆经济和股市都彻底不行了,大陆经济股市大幅下跌。,大陆经济和股市都彻底不行了,0,0.4999999999999999,0.5
20,informal_orthography,gpt_basic_standardization,佢懶姐，佢肯開演唱會一定大把人睇,他很懶，如果他願意舉辦演唱會，一定會有很多人來看。,他只是懒而已，他愿意开演唱会的话一定很多人看,他很懒，如果他愿意举办演唱会，一定会有很多人来看。,他只是懒而已，他愿意开演唱会的话一定很多人看,0,0.6382978723404256,0.6382978723404256
21,colloquial_or_slang,gpt_basic_standardization,迫啲居民等唔切就賣樓,迫使一些居民等不及就出售房屋。,逼一些居民等不及就卖房,迫使一些居民等不及就出售房屋。,逼一些居民等不及就卖房,0,0.6923076923076923,0.6923076923076923
22,code_mixing,gpt_basic_standardization,由DAY 0 開始既10日內有乜野要做一早有晒PLAN,從第0天開始的10天內有什麼需要做的，早就已經有計劃了。,从第0天开始的10天内要做什么，早就已经有完整计划了,从第0天开始的10天内有什么需要做的，早就已经有计划了。,从第0天开始的10天内要做什么，早就已经有完整计划了,0,0.888888888888889,0.8148148148148148
23,informal_orthography,gpt_basic_standardization,佢年頭已經貼左告示話開,他年初已經貼了告示說要開業。,他年初已经贴了告示说会开张,他年初已经贴了告示说要开业。,他年初已经贴了告示说会开张,0,0.8148148148148148,0.8148148148148148
24,colloquial_or_slang,gpt_basic_standardization,話時話我去日本咁多次一次松屋都未食過,說到日本，我去過那麼多次，竟然一次都沒有吃過松屋。,说起来，我去日本那么多次，一次松屋都没有吃过,说到日本，我去过那么多次，竟然一次都没有吃过松屋。,说起来，我去日本那么多次，一次松屋都没有吃过,0,0.8510638297872342,0.6808510638297872
25,colloquial_or_slang,gpt_basic_standardization,如果賣得貴過兩餸飯都唔會幫趁,如果賣得比兩碗飯還貴，就不會有人幫忙了。,如果卖得比两餸饭还贵，我也不会光顾,如果卖得比两碗饭还贵，就不会有人帮忙了。,如果卖得比两𩠌饭还贵，我也不会光顾,0,0.6486486486486486,0.6486486486486487
26,informal_orthography,gpt_basic_standardization,其實有d人會有地址係銀包,其实有些人会把地址放在钱包里。,其实有些人会把地址放在钱包里,其实有些人会把地址放在钱包里。,其实有些人会把地址放在钱包里,0,0.9655172413793104,0.9655172413793104
