id,method,prompt_file,model,temperature,prediction
1,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,有些人很简单理所当然地就谈恋爱了。
2,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,买不到票的人能否观看直播？
3,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,两位很会吃，给你们一个赞。
4,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,谢谢每一位支持粤语的人。
5,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,你们互相调侃真好笑啊。
6,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,进入机场时安检预计不会太快。
7,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,你觉得阿森纳夺冠的功臣是谁？
8,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,不如问问你自己是否没有更新后续的发展。
9,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,香港民意来了。
10,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,有机会白吃白住，还可以打游戏。
11,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,和他同期的那些人全部都老了。
12,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,他获得了全欧洲最漂亮的数据。
13,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,他不幸的是遇到了最顶级的射手。
14,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,只有你一个人每天发帖吹捧。
15,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,他也是一个人支持曼联。
16,gpt_variation_aware_standardization,prompts/variation_aware_standardization.txt,gpt-4o-mini,0.0,也没有那么容易被人笑你口音。
