id,method,prompt_file,model,temperature,prediction
1,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,有些人觉得很简单理所当然就能谈恋爱。
2,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,买不到票的人能否观看直播？
3,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,两位很会吃，给你们一个赞。
4,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,谢谢每一位支持粤语的人。
5,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,你们互相调侃真好笑啊。
6,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,进入机场时安检预计不会太快。
7,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,你觉得阿森纳夺冠的功臣是谁？
8,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,不如问问你自己是否没有更新后续的发展。
9,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,香港民意来了。
10,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,有得白吃白住，还可以打游戏。
11,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,和他们同期的那些人全部都老了。
12,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,他在整个欧洲的数据中是最好的。
13,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,他不幸的是遇到了最顶级的射手。
14,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,只有你一个人每天发帖吹捧。
15,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,他也是一个人扛着曼联。
16,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,也没有那么容易被人笑你口音。
17,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,每个男人都会陪伴的。
18,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,会想一些之前没有怎么想过的事情。
19,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,大陆经济股市大跌。
20,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,他很懒，如果他愿意举办演唱会，一定会有很多人观看。
21,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,迫使一些居民等不及就卖楼。
22,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,从第0天开始的10天内有什么事情要做，提前都要有计划。
23,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,他们年初已经贴了公告说要开业。
24,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,说到说到，我去日本这么多次，竟然一次松屋都没吃过。
25,gpt_basic_standardization,prompts/basic_standardization.txt,gpt-4o-mini,0.0,如果卖得比两份饭还贵，就不会有人买。
