id,type,method,cantonese,prediction,reference,normalized_prediction,normalized_reference,exact_match,char_f1,edit_similarity
1,informal_orthography,gpt_context_aware_standardization,有D人好簡單好理所當然咁就拍到拖,有些人很简单，理所当然地就谈恋爱了。,有些人很轻松、很理所当然地就谈上恋爱了,有些人很简单，理所当然地就谈恋爱了。,有些人很轻松、很理所当然地就谈上恋爱了,0,0.7567567567567567,0.7567567567567568
2,colloquial_or_slang,gpt_context_aware_standardization,買唔到飛嘅人能否觀看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,1,1.0,1.0
3,code_mixing,gpt_context_aware_standardization,兩位好識食，俾個like你哋,你们真会吃，给你们一个赞。,你们两位真会吃，给你们点个赞,你们真会吃，给你们一个赞。,你们两位真会吃，给你们点个赞,0,0.8148148148148148,0.8148148148148148
4,colloquial_or_slang,gpt_context_aware_standardization,多谢每一位撑粤语嘅人,感谢每一位支持粤语的人。,感谢每一位支持粤语的人,感谢每一位支持粤语的人。,感谢每一位支持粤语的人,0,0.9565217391304348,0.9565217391304348
5,colloquial_or_slang,gpt_context_aware_standardization,你地互寸好好笑呀,你们互相调侃真好笑啊。,你们互相吐槽真的很好笑,你们互相调侃真好笑啊。,你们互相吐槽真的很好笑,0,0.6363636363636364,0.6363636363636364
6,colloquial_or_slang,gpt_context_aware_standardization,入機場嗰陣安檢預咗唔會太快,进入机场时安检预计不会太快。,进机场的时候就预料到安检不会太快,进入机场时安检预计不会太快。,进机场的时候就预料到安检不会太快,0,0.7333333333333334,0.6666666666666666
7,colloquial_or_slang,gpt_context_aware_standardization,你覺得阿仙奴奪冠嘅功臣係邊個,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,1,1.0,1.0
8,code_mixing,gpt_context_aware_standardization,不如問下你自己係咪無update後續啲發展,不如问问你自己是否没有更新后续的发展。,不如问下你自己是不是没有跟进后续的发展,不如问问你自己是否没有更新后续的发展。,不如问下你自己是不是没有跟进后续的发展,0,0.7368421052631579,0.7368421052631579
9,particles_and_context,gpt_context_aware_standardization,香港民意黎架wo,香港的民意是这样的。,这是香港民意来的啊,香港的民意是这样的。,这是香港民意来的啊,0,0.7368421052631577,0.5263157894736842
10,colloquial_or_slang,gpt_context_aware_standardization,有得白食白住仲有得打機,有免费的食物和住宿，还可以玩游戏。,可以白吃白住，还可以打游戏,有免费的食物和住宿，还可以玩游戏。,可以白吃白住，还可以打游戏,0,0.4666666666666667,0.4666666666666667
