id,type,method,cantonese,prediction,reference,normalized_prediction,normalized_reference,exact_match,char_f1,edit_similarity
1,informal_orthography,direct_replacement,有D人好簡單好理所當然咁就拍到拖,有些人好簡單好理所當然这么就拍到拖,有些人很轻松、很理所当然地就谈上恋爱了,有些人好简单好理所当然这么就拍到拖,有些人很轻松、很理所当然地就谈上恋爱了,0,0.4444444444444444,0.4444444444444444
2,colloquial_or_slang,direct_replacement,買唔到飛嘅人能否觀看直播？,買不到票的人能否觀看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,1,1.0,1.0
3,code_mixing,direct_replacement,兩位好識食，俾個like你哋,兩位好識吃，被個赞你们,你们两位真会吃，给你们点个赞,两位好识吃，被个赞你们,你们两位真会吃，给你们点个赞,0,0.64,0.48
4,colloquial_or_slang,direct_replacement,多谢每一位撑粤语嘅人,多谢每一位撑粤语的人,感谢每一位支持粤语的人,多谢每一位撑粤语的人,感谢每一位支持粤语的人,0,0.761904761904762,0.7619047619047619
5,colloquial_or_slang,direct_replacement,你地互寸好好笑呀,你们互寸好好笑呀,你们互相吐槽真的很好笑,你们互寸好好笑呀,你们互相吐槽真的很好笑,0,0.5263157894736842,0.5263157894736842
6,colloquial_or_slang,direct_replacement,入機場嗰陣安檢預咗唔會太快,入機場嗰陣安檢預了不会太快,进机场的时候就预料到安检不会太快,入机场𠮶阵安检预了不会太快,进机场的时候就预料到安检不会太快,0,0.6206896551724138,0.5517241379310345
7,colloquial_or_slang,direct_replacement,你覺得阿仙奴奪冠嘅功臣係邊個,你覺得阿森纳奪冠的功臣是邊個,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是边个,你觉得阿森纳夺冠的功臣是谁？,0,0.8571428571428571,0.8571428571428571
8,code_mixing,direct_replacement,不如問下你自己係咪無update後續啲發展,不如問下你自己是不是無更新後續些發展,不如问下你自己是不是没有跟进后续的发展,不如问下你自己是不是无更新后续些发展,不如问下你自己是不是没有跟进后续的发展,0,0.7567567567567567,0.7567567567567568
9,particles_and_context,direct_replacement,香港民意黎架wo,香港民意黎架啊,这是香港民意来的啊,香港民意黎架啊,这是香港民意来的啊,0,0.6250000000000001,0.625
10,colloquial_or_slang,direct_replacement,有得白食白住仲有得打機,可以白吃白住仲可以打游戏,可以白吃白住，还可以打游戏,可以白吃白住仲可以打游戏,可以白吃白住，还可以打游戏,0,0.8799999999999999,0.88
11,informal_orthography,direct_replacement,同佢同期個d 全部都老哂啦,同他同期那些 全部都老哂啦,和他同期的那些人全都老了,同他同期那些全部都老哂啦,和他同期的那些人全都老了,0,0.6666666666666666,0.6666666666666666
12,code_mixing,direct_replacement,佢chok 到全歐洲最靚數據,他ch还可以 到全欧洲最靚数据,他刷出了全欧洲最好看的数据,他ch还可以到全欧洲最靓数据,他刷出了全欧洲最好看的数据,0,0.5185185185185186,0.5185185185185185
13,informal_orthography,direct_replacement,佢唔好彩既係佢遇到最頂級既射手,他不走运的是他遇到最頂級的射手,他不走运的是，他遇到了最顶级的前锋,他不走运的是他遇到最顶级的射手,他不走运的是，他遇到了最顶级的前锋,0,0.8125,0.8125
14,code_mixing,direct_replacement,得你一個日日開post吹捧,只有你一个天天开帖子吹捧,只有你一个人天天发帖吹捧,只有你一个天天开帖子吹捧,只有你一个人天天发帖吹捧,0,0.8333333333333334,0.8333333333333334
15,code_mixing,direct_replacement,佢都係一人carry住曼聯,他也是一人撑着住曼联,他也是一个人撑着曼联,他也是一人撑着住曼联,他也是一个人撑着曼联,0,0.9,0.9
16,code_mixing,direct_replacement,亦都冇咁易畀人笑你chok口音,亦都没那么容易被人笑你ch还可以口音,也没那么容易被人笑你的刻意口音,亦都没那么容易被人笑你ch还可以口音,也没那么容易被人笑你的刻意口音,0,0.6666666666666666,0.6666666666666666
17,particles_and_context,direct_replacement,個個男人都會陪架啦,個個男人都會陪的啦,每个男人都会陪的啦,个个男人都会陪的啦,每个男人都会陪的啦,0,0.8888888888888888,0.8888888888888888
18,colloquial_or_slang,direct_replacement,會諗一啲之前冇點諗過嘅嘢,會想一些之前没怎么想過的东西,会想一些之前没怎么想过的事情,会想一些之前没怎么想过的东西,会想一些之前没怎么想过的事情,0,0.8571428571428571,0.8571428571428571
19,colloquial_or_slang,direct_replacement,大陸經濟股市收晒皮,大陸经济股市彻底不行了,大陆经济和股市都彻底不行了,大陆经济股市彻底不行了,大陆经济和股市都彻底不行了,0,0.9166666666666666,0.9166666666666666
20,informal_orthography,direct_replacement,佢懶姐，佢肯開演唱會一定大把人睇,他懶姐，他肯开演唱会一定很多人看,他只是懒而已，他愿意开演唱会的话一定很多人看,他懒姐，他肯开演唱会一定很多人看,他只是懒而已，他愿意开演唱会的话一定很多人看,0,0.7368421052631579,0.7368421052631579
21,colloquial_or_slang,direct_replacement,迫啲居民等唔切就賣樓,迫些居民等来不及就賣樓,逼一些居民等不及就卖房,迫些居民等来不及就卖楼,逼一些居民等不及就卖房,0,0.7272727272727273,0.7272727272727273
22,code_mixing,direct_replacement,由DAY 0 開始既10日內有乜野要做一早有晒PLAN,由第0天 开始的10日內有乜东西要做一早有晒计划,从第0天开始的10天内要做什么，早就已经有完整计划了,由第0天开始的10日内有乜东西要做一早有晒计划,从第0天开始的10天内要做什么，早就已经有完整计划了,0,0.6122448979591837,0.6122448979591837
23,informal_orthography,direct_replacement,佢年頭已經貼左告示話開,他年頭已經貼了告示話开,他年初已经贴了告示说会开张,他年头已经贴了告示话开,他年初已经贴了告示说会开张,0,0.7500000000000001,0.75
24,colloquial_or_slang,direct_replacement,話時話我去日本咁多次一次松屋都未食過,说起来我去日本这么多次一次松屋都未吃過,说起来，我去日本那么多次，一次松屋都没有吃过,说起来我去日本这么多次一次松屋都未吃过,说起来，我去日本那么多次，一次松屋都没有吃过,0,0.8292682926829269,0.8292682926829268
25,colloquial_or_slang,direct_replacement,如果賣得貴過兩餸飯都唔會幫趁,如果賣得貴過两餸饭都不会光顾,如果卖得比两餸饭还贵，我也不会光顾,如果卖得贵过两𩠌饭都不会光顾,如果卖得比两𩠌饭还贵，我也不会光顾,0,0.7741935483870968,0.7096774193548387
26,informal_orthography,direct_replacement,其實有d人會有地址係銀包,其實有些人會有地址是钱包,其实有些人会把地址放在钱包里,其实有些人会有地址是钱包,其实有些人会把地址放在钱包里,0,0.7692307692307692,0.7692307692307693
27,particles_and_context,direct_replacement,冇人話過拍拖實係拍劇咁甜架喎,没有人話過谈恋爱一定是拍劇这么甜啊,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,没有人话过谈恋爱一定是拍剧这么甜啊,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,0,0.6842105263157895,0.6842105263157895
28,colloquial_or_slang,direct_replacement,做到咁辛苦都叫有糧出,做到这么辛苦都叫有糧出,做得这么辛苦，好歹也能拿工资,做到这么辛苦都叫有粮出,做得这么辛苦，好歹也能拿工资,0,0.4,0.4
