id,method,prompt_file,model,temperature,prediction
1,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,有些人觉得很简单理所当然就能谈恋爱。
2,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,买不到票的人能否观看直播？
3,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,你们两位很会吃，给你们一个赞。
4,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,感谢每一位支持粤语的人。
5,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,你们互相调侃真好笑啊。
6,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,进入机场时安检预计不会太快。
7,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,你觉得阿森纳夺冠的功臣是谁？
8,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,不如问问你自己是否没有更新后续的发展。
9,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,香港民意是这样的。
10,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,有得免费吃住，还可以玩游戏。
11,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,和他同期的那些人全部都老了。
12,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,他创造了全欧洲最漂亮的数据。
13,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,他不幸的是遇到了最顶尖的射手。
14,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,只有你一个人每天发帖吹捧。
15,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,他也是一个人扛着曼联。
16,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,也没有那么容易被人嘲笑你的口音。
17,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,每个男人都会陪伴的。
18,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,会想一些之前没有考虑过的事情。
19,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,大陆经济股市大幅下跌。
20,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,他很懒，如果他愿意举办演唱会，一定会有很多人观看。
21,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,迫使一些居民等不及就卖房。
22,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,从第0天开始的10天内有什么事情要做，提前都要有计划。
23,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,他们年初已经贴了通知说要开业。
24,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,说到日本，我去过那么多次，却一次都没吃过松屋。
25,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,如果卖得比两份饭还贵，就不会有人买。
26,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,其实有些人会在钱包里有地址。
27,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,没有人说过谈恋爱真的像拍戏那么甜。
28,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,做到这么辛苦也算有收入。
29,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,我以前试过让他们说即使买月票也要拍。
30,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,那么她还要应付那个正印。
31,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,有了照片，应该也能认出来。
32,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,当在一起之后通常就会说你出得多。
33,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,又说香港复苏的景象很好。
34,gpt_direct_translation,prompts/direct_translate.txt,gpt-4o-mini,0.0,他一直住在公寓里。
