id,type,method,cantonese,prediction,reference,label
1,informal_orthography,google_translate,有D人好簡單好理所當然咁就拍到拖,有些人很简单很理所当然就拍到拖,有些人很轻松、很理所当然地就谈上恋爱了,partial
1,informal_orthography,direct_replacement,有D人好簡單好理所當然咁就拍到拖,有些人好簡單好理所當然这么就拍到拖,有些人很轻松、很理所当然地就谈上恋爱了,partial
1,informal_orthography,gpt_variation_aware_standardization,有D人好簡單好理所當然咁就拍到拖,有些人很简单理所当然地就谈恋爱了。,有些人很轻松、很理所当然地就谈上恋爱了,acceptable
2,colloquial_or_slang,google_translate,買唔到飛嘅人能否觀看直播？,买不到票的人能观看直播吗？,买不到票的人能否观看直播？,acceptable
2,colloquial_or_slang,direct_replacement,買唔到飛嘅人能否觀看直播？,買不到票的人能否觀看直播？,买不到票的人能否观看直播？,acceptable
2,colloquial_or_slang,gpt_variation_aware_standardization,買唔到飛嘅人能否觀看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,acceptable
3,code_mixing,google_translate,兩位好識食，俾個like你哋,兩位好識食，畀個like你地,你们两位真会吃，给你们点个赞,wrong
3,code_mixing,direct_replacement,兩位好識食，俾個like你哋,兩位好識吃，被個赞你们,你们两位真会吃，给你们点个赞,wrong
3,code_mixing,gpt_variation_aware_standardization,兩位好識食，俾個like你哋,两位很会吃，给你们一个赞。,你们两位真会吃，给你们点个赞,acceptable
4,colloquial_or_slang,google_translate,多谢每一位撑粤语嘅人,谢谢每一位撑粤语的人,感谢每一位支持粤语的人,partial
4,colloquial_or_slang,direct_replacement,多谢每一位撑粤语嘅人,多谢每一位撑粤语的人,感谢每一位支持粤语的人,partial
4,colloquial_or_slang,gpt_variation_aware_standardization,多谢每一位撑粤语嘅人,谢谢每一位支持粤语的人。,感谢每一位支持粤语的人,acceptable
8,code_mixing,google_translate,不如問下你自己係咪無update後續啲發展,不如问问你自己是不是无update后续一些发展,不如问下你自己是不是没有跟进后续的发展,partial
8,code_mixing,direct_replacement,不如問下你自己係咪無update後續啲發展,不如問下你自己是不是無更新後續些發展,不如问下你自己是不是没有跟进后续的发展,partial
8,code_mixing,gpt_variation_aware_standardization,不如問下你自己係咪無update後續啲發展,不如问问你自己是否没有更新后续的发展。,不如问下你自己是不是没有跟进后续的发展,acceptable
9,particles_and_context,google_translate,香港民意黎架wo,hong kong public opinion,这是香港民意来的啊,wrong
9,particles_and_context,direct_replacement,香港民意黎架wo,香港民意黎架啊,这是香港民意来的啊,wrong
9,particles_and_context,gpt_variation_aware_standardization,香港民意黎架wo,香港民意来了。,这是香港民意来的啊,wrong
10,colloquial_or_slang,google_translate,有得白食白住仲有得打機,有得白吃白住还有得打机,可以白吃白住，还可以打游戏,partial
10,colloquial_or_slang,direct_replacement,有得白食白住仲有得打機,可以白吃白住仲可以打游戏,可以白吃白住，还可以打游戏,partial
10,colloquial_or_slang,gpt_variation_aware_standardization,有得白食白住仲有得打機,有机会白吃白住，还可以打游戏。,可以白吃白住，还可以打游戏,partial
11,informal_orthography,google_translate,同佢同期個d 全部都老哂啦,和他同期的d全都老晒啦,和他同期的那些人全都老了,wrong
11,informal_orthography,direct_replacement,同佢同期個d 全部都老哂啦,同他同期那些 全部都老哂啦,和他同期的那些人全都老了,wrong
11,informal_orthography,gpt_variation_aware_standardization,同佢同期個d 全部都老哂啦,和他同期的那些人全部都老了。,和他同期的那些人全都老了,partial
