id,type,method,cantonese,prediction,reference,normalized_prediction,normalized_reference,exact_match,char_f1,edit_similarity
1,informal_orthography,gpt_direct_translation,有D人好簡單好理所當然咁就拍到拖,有些人觉得很简单理所当然就能谈恋爱。,有些人很轻松、很理所当然地就谈上恋爱了,有些人觉得很简单理所当然就能谈恋爱。,有些人很轻松、很理所当然地就谈上恋爱了,0,0.6486486486486486,0.6486486486486487
2,colloquial_or_slang,gpt_direct_translation,買唔到飛嘅人能否觀看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,买不到票的人能否观看直播？,1,1.0,1.0
3,code_mixing,gpt_direct_translation,兩位好識食，俾個like你哋,你们两位很会吃，给你们一个赞。,你们两位真会吃，给你们点个赞,你们两位很会吃，给你们一个赞。,你们两位真会吃，给你们点个赞,0,0.8275862068965518,0.8275862068965517
4,colloquial_or_slang,gpt_direct_translation,多谢每一位撑粤语嘅人,感谢每一位支持粤语的人。,感谢每一位支持粤语的人,感谢每一位支持粤语的人。,感谢每一位支持粤语的人,0,0.9565217391304348,0.9565217391304348
5,colloquial_or_slang,gpt_direct_translation,你地互寸好好笑呀,你们互相调侃真好笑啊。,你们互相吐槽真的很好笑,你们互相调侃真好笑啊。,你们互相吐槽真的很好笑,0,0.6363636363636364,0.6363636363636364
6,colloquial_or_slang,gpt_direct_translation,入機場嗰陣安檢預咗唔會太快,进入机场时安检预计不会太快。,进机场的时候就预料到安检不会太快,进入机场时安检预计不会太快。,进机场的时候就预料到安检不会太快,0,0.7333333333333334,0.6666666666666666
7,colloquial_or_slang,gpt_direct_translation,你覺得阿仙奴奪冠嘅功臣係邊個,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,你觉得阿森纳夺冠的功臣是谁？,1,1.0,1.0
8,code_mixing,gpt_direct_translation,不如問下你自己係咪無update後續啲發展,不如问问你自己是否没有更新后续的发展。,不如问下你自己是不是没有跟进后续的发展,不如问问你自己是否没有更新后续的发展。,不如问下你自己是不是没有跟进后续的发展,0,0.7368421052631579,0.7368421052631579
9,particles_and_context,gpt_direct_translation,香港民意黎架wo,香港民意是这样的。,这是香港民意来的啊,香港民意是这样的。,这是香港民意来的啊,0,0.7777777777777778,0.5555555555555556
10,colloquial_or_slang,gpt_direct_translation,有得白食白住仲有得打機,有得免费吃住，还可以玩游戏。,可以白吃白住，还可以打游戏,有得免费吃住，还可以玩游戏。,可以白吃白住，还可以打游戏,0,0.5925925925925927,0.5925925925925926
11,informal_orthography,gpt_direct_translation,同佢同期個d 全部都老哂啦,和他同期的那些人全部都老了。,和他同期的那些人全都老了,和他同期的那些人全部都老了。,和他同期的那些人全都老了,0,0.923076923076923,0.9230769230769231
12,code_mixing,gpt_direct_translation,佢chok 到全歐洲最靚數據,他创造了全欧洲最漂亮的数据。,他刷出了全欧洲最好看的数据,他创造了全欧洲最漂亮的数据。,他刷出了全欧洲最好看的数据,0,0.6666666666666666,0.6666666666666666
13,informal_orthography,gpt_direct_translation,佢唔好彩既係佢遇到最頂級既射手,他不幸的是遇到了最顶尖的射手。,他不走运的是，他遇到了最顶级的前锋,他不幸的是遇到了最顶尖的射手。,他不走运的是，他遇到了最顶级的前锋,0,0.625,0.625
14,code_mixing,gpt_direct_translation,得你一個日日開post吹捧,只有你一个人每天发帖吹捧。,只有你一个人天天发帖吹捧,只有你一个人每天发帖吹捧。,只有你一个人天天发帖吹捧,0,0.8799999999999999,0.88
15,code_mixing,gpt_direct_translation,佢都係一人carry住曼聯,他也是一个人扛着曼联。,他也是一个人撑着曼联,他也是一个人扛着曼联。,他也是一个人撑着曼联,0,0.8571428571428572,0.8571428571428571
16,code_mixing,gpt_direct_translation,亦都冇咁易畀人笑你chok口音,也没有那么容易被人嘲笑你的口音。,也没那么容易被人笑你的刻意口音,也没有那么容易被人嘲笑你的口音。,也没那么容易被人笑你的刻意口音,0,0.8387096774193549,0.8387096774193549
17,particles_and_context,gpt_direct_translation,個個男人都會陪架啦,每个男人都会陪伴的。,每个男人都会陪的啦,每个男人都会陪伴的。,每个男人都会陪的啦,0,0.8421052631578948,0.8421052631578947
18,colloquial_or_slang,gpt_direct_translation,會諗一啲之前冇點諗過嘅嘢,会想一些之前没有考虑过的事情。,会想一些之前没怎么想过的事情,会想一些之前没有考虑过的事情。,会想一些之前没怎么想过的事情,0,0.7586206896551724,0.7586206896551724
19,colloquial_or_slang,gpt_direct_translation,大陸經濟股市收晒皮,大陆经济股市大幅下跌。,大陆经济和股市都彻底不行了,大陆经济股市大幅下跌。,大陆经济和股市都彻底不行了,0,0.4999999999999999,0.5
20,informal_orthography,gpt_direct_translation,佢懶姐，佢肯開演唱會一定大把人睇,他很懒，如果他愿意举办演唱会，一定会有很多人观看。,他只是懒而已，他愿意开演唱会的话一定很多人看,他很懒，如果他愿意举办演唱会，一定会有很多人观看。,他只是懒而已，他愿意开演唱会的话一定很多人看,0,0.6382978723404256,0.6382978723404256
21,colloquial_or_slang,gpt_direct_translation,迫啲居民等唔切就賣樓,迫使一些居民等不及就卖房。,逼一些居民等不及就卖房,迫使一些居民等不及就卖房。,逼一些居民等不及就卖房,0,0.8333333333333333,0.8333333333333334
22,code_mixing,gpt_direct_translation,由DAY 0 開始既10日內有乜野要做一早有晒PLAN,从第0天开始的10天内有什么事情要做，提前都要有计划。,从第0天开始的10天内要做什么，早就已经有完整计划了,从第0天开始的10天内有什么事情要做，提前都要有计划。,从第0天开始的10天内要做什么，早就已经有完整计划了,0,0.7169811320754716,0.6415094339622641
23,informal_orthography,gpt_direct_translation,佢年頭已經貼左告示話開,他们年初已经贴了通知说要开业。,他年初已经贴了告示说会开张,他们年初已经贴了通知说要开业。,他年初已经贴了告示说会开张,0,0.6428571428571429,0.6428571428571429
24,colloquial_or_slang,gpt_direct_translation,話時話我去日本咁多次一次松屋都未食過,说到日本，我去过那么多次，却一次都没吃过松屋。,说起来，我去日本那么多次，一次松屋都没有吃过,说到日本，我去过那么多次，却一次都没吃过松屋。,说起来，我去日本那么多次，一次松屋都没有吃过,0,0.8444444444444444,0.6666666666666666
25,colloquial_or_slang,gpt_direct_translation,如果賣得貴過兩餸飯都唔會幫趁,如果卖得比两份饭还贵，就不会有人买。,如果卖得比两餸饭还贵，我也不会光顾,如果卖得比两份饭还贵，就不会有人买。,如果卖得比两𩠌饭还贵，我也不会光顾,0,0.6857142857142857,0.6857142857142857
26,informal_orthography,gpt_direct_translation,其實有d人會有地址係銀包,其实有些人会在钱包里有地址。,其实有些人会把地址放在钱包里,其实有些人会在钱包里有地址。,其实有些人会把地址放在钱包里,0,0.8571428571428571,0.7142857142857143
27,particles_and_context,gpt_direct_translation,冇人話過拍拖實係拍劇咁甜架喎,没有人说过谈恋爱真的像拍戏那么甜。,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,没有人说过谈恋爱真的像拍戏那么甜。,没有人说过谈恋爱一定会像拍电视剧那样甜蜜啊,0,0.6315789473684211,0.631578947368421
28,colloquial_or_slang,gpt_direct_translation,做到咁辛苦都叫有糧出,做到这么辛苦也算有收入。,做得这么辛苦，好歹也能拿工资,做到这么辛苦也算有收入。,做得这么辛苦，好歹也能拿工资,0,0.4615384615384615,0.46153846153846156
29,informal_orthography,gpt_direct_translation,我以前試過俾佢地話就算買月票都要拍,我以前试过让他们说即使买月票也要拍。,我以前试过被他们告知，就算买了月票也要刷卡,我以前试过让他们说即使买月票也要拍。,我以前试过被他们告知，就算买了月票也要刷卡,0,0.6153846153846153,0.6153846153846154
30,colloquial_or_slang,gpt_direct_translation,咁佢仲要應付個正印,那么她还要应付那个正印。,那他还要应付正牌伴侣,那么她还要应付那个正印。,那他还要应付正牌伴侣,0,0.5454545454545454,0.5454545454545454
31,particles_and_context,gpt_direct_translation,有埋圖個樣應該都認到下嘅,有了照片，应该也能认出来。,有照片的话，应该还是能认出样子的,有了照片，应该也能认出来。,有照片的话，应该还是能认出样子的,0,0.6206896551724138,0.6206896551724138
32,code_mixing,gpt_direct_translation,當一齊左之後通常就會話你chur得濟,当在一起之后通常就会说你出得多。,在一起之后，通常就会说你逼得太紧,当在一起之后通常就会说你出得多。,在一起之后，通常就会说你逼得太紧,0,0.75,0.75
33,particles_and_context,gpt_direct_translation,又話香港復甦好好景嘅,又说香港复苏的景象很好。,不是说香港复苏得很好、很景气吗？,又说香港复苏的景象很好。,不是说香港复苏得很好、很景气吗？,0,0.5714285714285715,0.5
34,colloquial_or_slang,gpt_direct_translation,佢一直痴屋企住公屋,他一直住在公寓里。,他一直依赖家里，住在公屋,他一直住在公寓里。,他一直依赖家里，住在公屋,0,0.6666666666666666,0.5714285714285714
35,colloquial_or_slang,gpt_direct_translation,幾廿歲仲係搵咁少錢,几二十岁还在赚这么少的钱。,几十岁了还是赚这么少钱,几二十岁还在赚这么少的钱。,几十岁了还是赚这么少钱,0,0.7500000000000001,0.75
36,informal_orthography,gpt_direct_translation,比屋企人食晒你份人工?,把你赚的工资都给家里人花了吗？,被家人花光你的工资吗？,把你赚的工资都给家里人花了吗？,被家人花光你的工资吗？,0,0.6923076923076923,0.46153846153846156
37,informal_orthography,gpt_direct_translation,人地根本唔會介意你個樣,人们根本不会在意你的样子。,别人根本不会介意你的长相,人们根本不会在意你的样子。,别人根本不会介意你的长相,0,0.64,0.64
38,informal_orthography,gpt_direct_translation,我都以為係新式野，原來舊時都有,我也以为是新式的，原来旧时就有。,我也以为是新式东西，原来以前也有,我也以为是新式的，原来旧时就有。,我也以为是新式东西，原来以前也有,0,0.6875,0.6875
39,particles_and_context,gpt_direct_translation,腸粉都要非黑即白，兩隻都好食唔得既,肠粉一定要非黑即白，两种都好吃是不行的。,肠粉也要非黑即白吗？两种都好吃不可以吗？,肠粉一定要非黑即白，两种都好吃是不行的。,肠粉也要非黑即白吗？两种都好吃不可以吗？,0,0.65,0.65
40,informal_orthography,gpt_direct_translation,宜家香港麥當勞咁貴,现在香港的麦当劳这么贵。,现在香港的麦当劳这么贵,现在香港的麦当劳这么贵。,现在香港的麦当劳这么贵,0,0.9565217391304348,0.9565217391304348
41,colloquial_or_slang,gpt_direct_translation,其實出歌一啲都唔貴，派台宣傳先貴,其实出歌一点都不贵，宣传推广才贵。,其实出歌一点都不贵，去电台宣传才贵,其实出歌一点都不贵，宣传推广才贵。,其实出歌一点都不贵，去电台宣传才贵,0,0.8235294117647058,0.8235294117647058
42,informal_orthography,gpt_direct_translation,今集啲字幕正常返少左個歡樂,这一集的字幕正常少了一些欢乐。,这一集的字幕变正常了，反而少了一点乐趣,这一集的字幕正常少了一些欢乐。,这一集的字幕变正常了，反而少了一点乐趣,0,0.7058823529411765,0.7058823529411765
43,colloquial_or_slang,gpt_direct_translation,佢成日同你攞家用,他总是向你要家用。,他总是向你要生活费,他总是向你要家用。,他总是向你要生活费,0,0.6666666666666666,0.6666666666666666
44,informal_orthography,gpt_direct_translation,想早啲返屋企可以搬老婆出黎,想早点回家可以把老婆搬出来。,想早点回家的时候，可以把老婆拿出来当借口,想早点回家可以把老婆搬出来。,想早点回家的时候，可以把老婆拿出来当借口,0,0.7058823529411764,0.7058823529411765
45,colloquial_or_slang,gpt_direct_translation,放工已經好攰只想返屋企但都要應籌佢地,下班已经很累，只想回家，但还是要应酬他们。,下班后已经很累，只想回家，但还是要应酬他们,下班已经很累，只想回家，但还是要应酬他们。,下班后已经很累，只想回家，但还是要应酬他们,0,0.9523809523809523,0.9523809523809523
46,colloquial_or_slang,gpt_direct_translation,拎完市民錢，即刻拉返個市民,拿完市民的钱，立刻把市民拉回来。,拿完市民的钱，立刻又把那个市民抓回去,拿完市民的钱，立刻把市民拉回来。,拿完市民的钱，立刻又把那个市民抓回去,0,0.7647058823529411,0.7647058823529411
47,particles_and_context,gpt_direct_translation,原來無咗半年起訴期限，而家先留意到,原来已经过了半年起诉期限，现在才注意到。,原来没有了半年的起诉期限，现在才注意到,原来已经过了半年起诉期限，现在才注意到。,原来没有了半年的起诉期限，现在才注意到,0,0.8205128205128205,0.8205128205128205
48,colloquial_or_slang,gpt_direct_translation,無咩客都要你搭枱,没有客人也要你搭桌子。,没什么客人也会要求你拼桌,没有客人也要你搭桌子。,没什么客人也会要求你拼桌,0,0.6086956521739131,0.6086956521739131
49,colloquial_or_slang,gpt_direct_translation,最大問題一定係租金，見你生意好就加你租,最大的问题一定是租金，看到你生意好就会涨租。,最大的问题一定是租金，看到你生意好就给你增加租金,最大的问题一定是租金，看到你生意好就会涨租。,最大的问题一定是租金，看到你生意好就给你增加租金,0,0.8260869565217391,0.8260869565217391
50,colloquial_or_slang,gpt_direct_translation,仲要結咗婚冇咁易走得甩,结了婚就更不容易分开。,而且结了婚，没那么容易脱身,结了婚就更不容易分开。,而且结了婚，没那么容易脱身,0,0.41666666666666663,0.4166666666666667
51,code_mixing,gpt_direct_translation,講真，幾好睇幾Fun,说实话，挺好看的，也很有趣。,说真的，很好看很有趣,说实话，挺好看的，也很有趣。,说真的，很好看很有趣,0,0.6666666666666666,0.5833333333333334
